Baslangic: 2024-12-29 14:19:25 | Islem: Paylasim | Durum: Basariyla | Dosya: deneme108.txt | KullanicI DId: 2
Baslangic: 2024-12-29 14:38:53 | Islem: Paylasim | Durum: Basariyla | Dosya: deneme110.txt | KullanicI DId: 1
Baslangic: 2024-12-29 14:38:53 | Islem: Paylasim | Durum: Basariyla | Dosya: deneme110.txt | KullanicI DId: 3
Baslangic: 2024-12-29 14:38:53 | Islem: Paylasim | Durum: Basariyla | Dosya: deneme110.txt | KullanicI DId: 5
Baslangic: 2025-01-02 12:24:20 | Islem: Paylasim | Durum: Basariyla | Dosya: deneme115.txt | KullanicI DId: 2
Baslangic: 2025-01-02 14:25:05 | Islem: Paylasim | Durum: Basariyla | Dosya: deneme116.txt | KullanicI DId: 2
Baslangic: 2025-01-02 14:25:05 | Islem: Paylasim | Durum: Basariyla | Dosya: deneme116.txt | KullanicI DId: 3
Baslangic: 2025-01-02 14:25:05 | Islem: Paylasim | Durum: Basariyla | Dosya: deneme116.txt | KullanicI DId: 4
Baslangic: 2025-01-02 14:25:05 | Islem: Paylasim | Durum: Basariyla | Dosya: deneme116.txt | KullanicI DId: 5
Baslangic: 2025-01-02 14:25:05 | Islem: Paylasim | Durum: Basariyla | Dosya: deneme116.txt | KullanicI DId: 6
Baslangic: 2025-01-02 14:25:05 | Islem: Paylasim | Durum: Basariyla | Dosya: deneme116.txt | KullanicI DId: 7
Baslangic: 2025-01-02 14:25:05 | Islem: Paylasim | Durum: Basariyla | Dosya: deneme116.txt | KullanicI DId: 9
Baslangic: 2025-01-02 14:25:05 | Islem: Paylasim | Durum: Basariyla | Dosya: deneme116.txt | KullanicI DId: 10
Baslangic: 2025-01-02 14:25:05 | Islem: Paylasim | Durum: Basariyla | Dosya: deneme116.txt | KullanicI DId: 16
